"exchange_name","zh_company_abbr","stock_code"
Shanghai Stock Exchange,浪莎股份,"600137"
Shanghai Stock Exchange,中青旅,"600138"
Shanghai Stock Exchange,兴发集团,"600141"
Shanghai Stock Exchange,长春一东,"600148"
Shanghai Stock Exchange,廊坊发展,"600149"
Shanghai Stock Exchange,中国船舶,"600150"
Shanghai Stock Exchange,航天机电,"600151"
Shanghai Stock Exchange,维科技术,"600152"
Shanghai Stock Exchange,建发股份,"600153"
Shanghai Stock Exchange,华创云信,"600155"
Shanghai Stock Exchange,华升股份,"600156"
Shanghai Stock Exchange,永泰能源,"600157"
Shanghai Stock Exchange,中体产业,"600158"
Shanghai Stock Exchange,大龙地产,"600159"
Shanghai Stock Exchange,巨化股份,"600160"
Shanghai Stock Exchange,天坛生物,"600161"
Shanghai Stock Exchange,香江控股,"600162"
Shanghai Stock Exchange,中闽能源,"600163"
Shanghai Stock Exchange,*ST宁科,"600165"
Shanghai Stock Exchange,福田汽车,"600166"
Shanghai Stock Exchange,联美控股,"600167"
Shanghai Stock Exchange,武汉控股,"600168"
Shanghai Stock Exchange,太原重工,"600169"
Shanghai Stock Exchange,上海建工,"600170"
Shanghai Stock Exchange,上海贝岭,"600171"
Shanghai Stock Exchange,黄河旋风,"600172"
Shanghai Stock Exchange,卧龙新能,"600173"
Shanghai Stock Exchange,中国巨石,"600176"
Shanghai Stock Exchange,雅戈尔,"600177"
Shanghai Stock Exchange,东安动力,"600178"
Shanghai Stock Exchange,安通控股,"600179"
Shanghai Stock Exchange,瑞茂通,"600180"
Shanghai Stock Exchange,S佳通,"600182"
Shanghai Stock Exchange,生益科技,"600183"
Shanghai Stock Exchange,珠免集团,"600185"
Shanghai Stock Exchange,莲花控股,"600186"
Shanghai Stock Exchange,国中水务,"600187"
Shanghai Stock Exchange,兖矿能源,"600188"
Shanghai Stock Exchange,泉阳泉,"600189"
Shanghai Stock Exchange,华资实业,"600191"
Shanghai Stock Exchange,长城电工,"600192"
Shanghai Stock Exchange,*ST创兴,"600193"
Shanghai Stock Exchange,中牧股份,"600195"
Shanghai Stock Exchange,复星医药,"600196"
Shanghai Stock Exchange,伊力特,"600197"
Shanghai Stock Exchange,大唐电信,"600198"
Shanghai Stock Exchange,金种子酒,"600199"
Shanghai Stock Exchange,*ST苏吴,"600200"
Shanghai Stock Exchange,生物股份,"600201"
Shanghai Stock Exchange,哈空调,"600202"
Shanghai Stock Exchange,福日电子,"600203"
Shanghai Stock Exchange,有研新材,"600206"
Shanghai Stock Exchange,安彩高科,"600207"
Shanghai Stock Exchange,衢州发展,"600208"
Shanghai Stock Exchange,紫江企业,"600210"
Shanghai Stock Exchange,西藏药业,"600211"
Shanghai Stock Exchange,绿能慧充,"600212"
Shanghai Stock Exchange,派斯林,"600215"
Shanghai Stock Exchange,浙江医药,"600216"
Shanghai Stock Exchange,中再资环,"600217"
Shanghai Stock Exchange,全柴动力,"600218"
Shanghai Stock Exchange,南山铝业,"600219"
Shanghai Stock Exchange,海航控股,"600221"
Shanghai Stock Exchange,太龙药业,"600222"
Shanghai Stock Exchange,福瑞达,"600223"
Shanghai Stock Exchange,亨通股份,"600226"
Shanghai Stock Exchange,赤天化,"600227"
Shanghai Stock Exchange,*ST返利,"600228"
Shanghai Stock Exchange,城市传媒,"600229"
Shanghai Stock Exchange,沧州大化,"600230"
Shanghai Stock Exchange,凌钢股份,"600231"
Shanghai Stock Exchange,金鹰股份,"600232"
Shanghai Stock Exchange,圆通速递,"600233"
Shanghai Stock Exchange,科新发展,"600234"
Shanghai Stock Exchange,民丰特纸,"600235"
Shanghai Stock Exchange,桂冠电力,"600236"
